0. 	b	4.18	0	-30	-52	-32	-13.2	-49.92	-13.12	-16.8	-2.08	-18.88
1. 	b	4.18	0	78	-80	82	42.9	-17.6	23.78	35.1	-62.4	58.22
2. 	b	4.18	0	72	-30	86	45.36	-3	16.34	26.64	-27	69.66
3. 	b	4.18	0	-12	92	-18	-10.44	8.28	-3.06	-1.56	83.72	-14.94
4. 	b	4.18	0	10	-56	-42	6.7	-26.88	-38.64	3.3	-29.12	-3.36
5. 	b	4.18	0	26	-80	-62	20.28	-59.2	-29.76	5.72	-20.8	-32.24
6. 	b	4.18	0	74	-82	-66	28.86	-21.32	-23.1	45.14	-60.68	-42.9
7. 	b	4.18	0	34	-4	84	21.42	-0.96	68.88	12.58	-3.04	15.12
8. 	b	4.18	0	56	48	-4	40.32	24	-2.32	15.68	24	-1.68
9. 	b	4.18	0	-22	-48	-30	-11.44	-35.04	-0.3	-10.56	-12.96	-29.7
10. 	b	4.18	0	26	-52	64	4.16	-39	63.36	21.84	-13	0.64
11. 	b	4.18	0	44	0	16	29.48	0	13.92	14.52	0	2.08
12. 	b	4.18	0	4	46	-98	1.52	32.66	-75.46	2.48	13.34	-22.54
13. 	W	80.379	1	-68	50	98	-50.32	34.5	4.9	-17.68	15.5	93.1
14. 	b	4.18	0	34	-14	74	34	-0.14	36.26	0	-13.86	37.74
15. 	b	4.18	0	-24	42	54	-21.12	24.78	47.52	-2.88	17.22	6.48
16. 	b	4.18	0	48	38	-90	30.24	25.84	-62.1	17.76	12.16	-27.9
17. 	b	4.18	0	100	-98	-2	87	-56.84	-1.72	13	-41.16	-0.28
18. 	b	4.18	0	76	18	76	0.76	5.76	65.36	75.24	12.24	10.64
19. 	b	4.18	0	26	36	38	20.02	11.16	21.66	5.98	24.84	16.34
20. 	b	4.18	0	74	16	72	23.68	0.48	23.76	50.32	15.52	48.24
21. 	W	80.379	1	-98	-36	72	-24.5	-25.56	34.56	-73.5	-10.44	37.44
22. 	b	4.18	0	54	-38	14	47.52	-20.52	13.86	6.48	-17.48	0.14
23. 	b	4.18	0	-36	-94	-34	-2.52	-21.62	-21.42	-33.48	-72.38	-12.58
24. 	Tau	1.777	0	-50	42	-4	-23	5.88	-0.32	-27	36.12	-3.68
25. 	b	4.18	0	76	8	98	44.08	7.2	39.2	31.92	0.8	58.8
26. 	W	80.379	1	-86	-54	26	-3.44	-46.98	0.26	-82.56	-7.02	25.74
27. 	b	4.18	0	-8	-72	-84	-6.72	-15.84	-49.56	-1.28	-56.16	-34.44
28. 	b	4.18	0	16	80	-20	3.84	18.4	-11.2	12.16	61.6	-8.8
29. 	W	80.379	1	-92	74	-98	-80.04	3.7	-62.72	-11.96	70.3	-35.28
30. 	b	4.18	0	68	-56	18	12.92	-5.04	5.04	55.08	-50.96	12.96
31. 	Tau	1.777	0	-52	-54	12	-11.44	-15.12	5.4	-40.56	-38.88	6.6
32. 	b	4.18	0	74	-90	28	11.84	-17.1	12.88	62.16	-72.9	15.12
33. 	W	80.379	1	-62	-82	-44	-49.6	-72.16	-1.76	-12.4	-9.84	-42.24
34. 	Tau	1.777	0	-56	-44	-10	-38.64	-33.44	-3.2	-17.36	-10.56	-6.8
35. 	W	80.379	1	-68	-62	-8	-9.52	-2.48	-3.84	-58.48	-59.52	-4.16
36. 	b	4.18	0	60	76	-92	27	28.12	-85.56	33	47.88	-6.44
37. 	b	4.18	0	38	52	-36	7.98	26	-4.68	30.02	26	-31.32
38. 	W	80.379	1	-72	-92	-4	-30.96	-25.76	-1.6	-41.04	-66.24	-2.4
39. 	b	4.18	0	-10	-26	86	-7.9	-20.02	76.54	-2.1	-5.98	9.46
40. 	W	80.379	1	-58	0	-74	-51.04	0	-4.44	-6.96	0	-69.56
41. 	b	4.18	0	-14	-44	-20	-14	-41.36	-14	-0	-2.64	-6
42. 	b	4.18	0	58	54	78	13.92	1.62	7.8	44.08	52.38	70.2
43. 	b	4.18	0	76	-22	-88	61.56	-12.76	-55.44	14.44	-9.24	-32.56
44. 	b	4.18	0	100	88	40	95	36.08	27.2	5	51.92	12.8
45. 	Tau	1.777	0	-52	-94	-80	-34.32	-62.98	-76	-17.68	-31.02	-4
46. 	b	4.18	0	62	16	26	48.98	9.92	14.56	13.02	6.08	11.44
47. 	b	4.18	0	90	-18	36	56.7	-14.94	18	33.3	-3.06	18
48. 	b	4.18	0	32	34	90	0.32	7.14	80.1	31.68	26.86	9.9
49. 	b	4.18	0	58	24	12	9.28	19.68	6.96	48.72	4.32	5.04
50. 	b	4.18	0	26	66	0	5.46	35.64	0	20.54	30.36	0
51. 	W	80.379	1	-98	-58	78	-8.82	-56.26	49.92	-89.18	-1.74	28.08
52. 	W	80.379	1	-68	64	16	-19.04	52.48	6.24	-48.96	11.52	9.76
